question,answer,type
What is the consequence for an initial offense related to alcohol disorder?,Probation Level II.,paraphrased
What type of sanction is given for a first alcohol-related offense?,Probation Level II.,paraphrased
What is the punishment for being charged with alcohol disorder for the first time?,Probation Level II.,paraphrased
What follows as a sanction when someone commits their first alcohol disorder violation?,Probation Level II.,paraphrased
What penalty is imposed for multiple alcohol-related offenses?,Suspension.,paraphrased
Which consequence occurs after repeated alcohol violations?,Suspension.,paraphrased
What is the result of having several alcohol offenses on your record?,Suspension.,paraphrased
What disciplinary action is taken for repeated offenses involving alcohol?,Suspension.,paraphrased
What is the sanction for someone who commits alcohol offenses multiple times?,Suspension.,paraphrased
Can you summarize the drug policy?,Zero tolerance; dismissal for possession.,paraphrased
How would you briefly describe the drug policy?,Zero tolerance; dismissal for possession.,paraphrased
What's the drug policy in a nutshell?,Zero tolerance; dismissal for possession.,paraphrased
What's the main point of the drug policy?,Zero tolerance; dismissal for possession.,paraphrased
Could you give me a quick overview of the drug policy?,Zero tolerance; dismissal for possession.,paraphrased
Is miraa or khat prohibited?,"Yes, classified as illegal drug.",paraphrased
Is khat or miraa illegal?,"Yes, classified as illegal drug.",paraphrased
Is the use of miraa or khat against the law?,"Yes, classified as illegal drug.",paraphrased
Is miraa/khat considered an outlawed substance?,"Yes, classified as illegal drug.",paraphrased
Is khat or miraa banned from use?,"Yes, classified as illegal drug.",paraphrased
Are rooms subject to searches for illegal substances?,"Yes, when necessary.",paraphrased
Is it possible to conduct searches in rooms for drugs?,"Yes, when necessary.",paraphrased
Can authorities inspect rooms for the presence of drugs?,"Yes, when necessary.",paraphrased
Are searches for drugs allowed in rooms?,"Yes, when necessary.",paraphrased
Do rooms have the potential to be searched for narcotics?,"Yes, when necessary.",paraphrased
Where can students find assistance for alcohol or drug issues?,"Counselling, Health Centre, Peer Counsellors.",paraphrased
What resources are available for students seeking help with alcohol or drugs?,"Counselling, Health Centre, Peer Counsellors.",paraphrased
Where should students go to receive support for substance-related problems?,"Counselling, Health Centre, Peer Counsellors.",paraphrased
Which places offer help for students dealing with alcohol or drug concerns?,"Counselling, Health Centre, Peer Counsellors.",paraphrased
Where can students access support for issues related to drugs and alcohol?,"Counselling, Health Centre, Peer Counsellors.",paraphrased
Are you permitted to smoke on buses?,No; campus-wide ban.,paraphrased
Can you smoke while riding on the bus?,No; campus-wide ban.,paraphrased
Is it permissible to smoke inside buses?,No; campus-wide ban.,paraphrased
Do the rules allow smoking on buses?,No; campus-wide ban.,paraphrased
Is it okay to smoke aboard a bus?,No; campus-wide ban.,paraphrased
What is the penalty for a first-time smoking violation?,Probation Level II.,paraphrased
What consequence is given for a first smoking offense?,Probation Level II.,paraphrased
What is the sanction for someone's first smoking infraction?,Probation Level II.,paraphrased
What will happen for a first smoking-related offense?,Probation Level II.,paraphrased
What punishment is imposed for a first offense involving smoking?,Probation Level II.,paraphrased
What penalty is imposed for multiple smoking violations?,Suspension or dismissal.,paraphrased
What consequence follows for a repeated smoking infraction?,Suspension or dismissal.,paraphrased
What action is taken in response to a second smoking offense?,Suspension or dismissal.,paraphrased
What disciplinary measure applies for those who smoke repeatedly?,Suspension or dismissal.,paraphrased
What is the punishment for a recurring smoking violation?,Suspension or dismissal.,paraphrased
What is the penalty for littering on the first offense?,Ksh 2 000.,paraphrased
How much is the fine for a first-time littering violation?,Ksh 2 000.,paraphrased
What is the cost of the fine if it's your first offense for littering?,Ksh 2 000.,paraphrased
What is the fine amount for someone who litters for the first time?,Ksh 2 000.,paraphrased
What is what is the littering fine first offence??,Ksh 2 000.,paraphrased
Is it possible to have littering fines reduced or changed?,"Yes, 5 days cleaning if unable to pay.",paraphrased
Are littering penalties eligible for commutation?,"Yes, 5 days cleaning if unable to pay.",paraphrased
Can the fines for littering be altered or lessened?,"Yes, 5 days cleaning if unable to pay.",paraphrased
Is there a way to modify the fines associated with littering?,"Yes, 5 days cleaning if unable to pay.",paraphrased
Can someone have their littering fines adjusted?,"Yes, 5 days cleaning if unable to pay.",paraphrased
What penalties are associated with graffiti offenses?,Probation Level II or higher.,paraphrased
What type of sanction is imposed for graffiti-related violations?,Probation Level II or higher.,paraphrased
What is the punishment for engaging in graffiti activities?,Probation Level II or higher.,paraphrased
What level of probation is required for graffiti offenses?,Probation Level II or higher.,paraphrased
What is what is the graffiti sanction??,Probation Level II or higher.,paraphrased
Who is responsible for enforcing the littering policy?,"Security, cafeteria staff.",paraphrased
Which individuals are in charge of upholding the littering rules?,"Security, cafeteria staff.",paraphrased
Who takes on the responsibility of enforcing the policy against littering?,"Security, cafeteria staff.",paraphrased
Who monitors and enforces the rules regarding littering?,"Security, cafeteria staff.",paraphrased
Which personnel are tasked with enforcing the littering regulations?,"Security, cafeteria staff.",paraphrased
What's the process for filing a discrimination report?,Written complaint to DVC Student Affairs.,paraphrased
How can I submit a complaint about discrimination?,Written complaint to DVC Student Affairs.,paraphrased
What steps should I take to report discrimination?,Written complaint to DVC Student Affairs.,paraphrased
